date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:49:59	46447/46447	---M-Z	200	added ('OK')	text/html	etag:%2204d514f9cfad81:0%22	https://gvpce.ac.in/	C:/Users/MY%20PC/OneDrive/Desktop/ScrapingProject/GVPCE/GVPCE/gvpce.ac.in/index.html	(from )
18:49:59	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Nov%202022%2013:24:09%20GMT	https://gvpce.ac.in/robots.txt		(from )
18:50:00	238/238	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2021%20Nov%202022%2013:20:00%20GMT	http://www.w3.org/1999/xhtml	C:/Users/MY%20PC/OneDrive/Desktop/ScrapingProject/GVPCE/GVPCE/www.w3.org/1999/xhtml.0.delayed	(from https://gvpce.ac.in/)
18:50:01	3638/3638	---M--	200	added ('OK')	image/x-icon	etag:%22077c701514c81:0%22	https://gvpce.ac.in/favicon.ico	C:/Users/MY%20PC/OneDrive/Desktop/ScrapingProject/GVPCE/GVPCE/gvpce.ac.in/favicon.ico	(from https://gvpce.ac.in/)
18:50:01	15690/15690	---M--	200	added ('OK')	text/css	etag:%22403f8e2a92c3d81:0%22	https://gvpce.ac.in/images/stylegvp2.css	C:/Users/MY%20PC/OneDrive/Desktop/ScrapingProject/GVPCE/GVPCE/gvpce.ac.in/images/stylegvp2.css	(from https://gvpce.ac.in/)
18:50:02	2725/2725	---M-Z	200	added ('OK')	text/html	etag:%22aa5-53beb90aa8180;eb-4d3672e1409c0	https://www.w3.org/1999/xhtml/	C:/Users/MY%20PC/OneDrive/Desktop/ScrapingProject/GVPCE/GVPCE/www.w3.org/1999/xhtml/index.html	(from https://gvpce.ac.in/)
18:50:02	8505/8505	---M--	200	added ('OK')	text/css	etag:%228c017b2a37ed11:0%22	https://gvpce.ac.in/engine1//style.css	C:/Users/MY%20PC/OneDrive/Desktop/ScrapingProject/GVPCE/GVPCE/gvpce.ac.in/engine1/style.css	(from https://gvpce.ac.in/)
18:50:05	46794/46794	---M--	200	added ('OK')	image/jpeg	etag:%227399e84926b9d81:0%22	https://gvpce.ac.in/images/banner.jpg	C:/Users/MY%20PC/OneDrive/Desktop/ScrapingProject/GVPCE/GVPCE/gvpce.ac.in/images/banner.jpg	(from https://gvpce.ac.in/)
18:50:07	180/180	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2021%20Nov%202022%2013:24:17%20GMT	https://gvpce.ac.in/B.Tech/B.Tech%20Admissions/2022-2023	C:/Users/MY%20PC/OneDrive/Desktop/ScrapingProject/GVPCE/GVPCE/gvpce.ac.in/B.Tech/B.Tech%20Admissions/2022-2023.7.delayed	(from https://gvpce.ac.in/)
18:50:07	1132628/1132628	---M--	200	added ('OK')	image/jpeg	etag:%221f470aaf4f3d71:0%22	https://gvpce.ac.in/images/SILVER%20JUBILEE%20BANNER%2025%20years%20(1).jpg	C:/Users/MY%20PC/OneDrive/Desktop/ScrapingProject/GVPCE/GVPCE/gvpce.ac.in/images/SILVER%20JUBILEE%20BANNER%2025%20years%20(1).jpg	(from https://gvpce.ac.in/)
